,anomaly
1480,False
1481,False
1482,False
1483,False
1484,False
1485,False
1486,False
1487,True
1488,True
1489,False
1490,False
1491,False
1492,False
1493,False
1494,False
1495,True
1496,False
1497,False
1498,False
1499,False
1500,False
1501,False
1502,False
1503,False
1504,False
1505,False
1506,False
1507,False
1508,False
1509,False
1510,False
1511,False
1512,False
1513,False
1514,False
1515,False
1516,False
1517,False
1518,False
1519,False
1520,False
1521,False
1522,False
1523,False
1524,True
1525,False
1526,False
1527,True
1528,False
1529,False
1530,False
1531,False
1532,False
1533,False
1534,False
1535,False
1536,True
1537,False
1538,False
1539,False
1540,False
1541,True
1542,True
1543,False
1544,False
1545,False
1546,False
1547,True
1548,False
1549,False
1550,False
1551,False
1552,False
1553,False
1554,False
1555,True
1556,True
1557,False
1558,False
1559,False
1560,False
1561,False
1562,False
1563,False
1564,False
1565,False
1566,False
1567,False
1568,False
1569,False
1570,False
1571,False
1572,False
1573,False
1574,False
1575,False
1576,False
1577,False
1578,False
1579,False
1580,False
1581,False
1582,False
1583,False
1584,False
1585,False
1586,False
1587,False
1588,False
1589,False
1590,False
1591,False
1592,False
1593,False
1594,False
1595,False
1596,False
1597,False
1598,False
1599,False
1600,False
1601,False
1602,False
1603,False
1604,False
1605,False
1606,False
1607,False
1608,False
1609,False
1610,False
1611,False
1612,False
1613,True
1614,False
1615,False
1616,False
1617,False
1618,False
1619,False
1620,False
1621,False
1622,False
1623,False
1624,True
1625,False
1626,False
1627,False
1628,False
1629,False
1630,True
1631,True
1632,False
1633,False
1634,False
1635,False
1636,False
1637,False
1638,False
1639,False
1640,False
1641,False
1642,False
1643,False
1644,False
1645,False
1646,False
1647,False
1648,False
1649,False
1650,False
1651,False
1652,False
1653,False
1654,True
1655,False
1656,False
1657,False
1658,False
1659,False
1660,False
1661,False
1662,False
1663,False
1664,False
1665,False
1666,False
1667,False
1668,False
1669,False
1670,False
1671,False
1672,False
1673,False
1674,False
1675,False
1676,False
1677,False
1678,False
1679,False
1680,False
1681,False
1682,False
1683,False
1684,False
1685,True
1686,False
1687,False
1688,False
1689,False
1690,False
1691,False
1692,False
1693,False
1694,False
1695,False
1696,False
1697,False
1698,False
1699,False
1700,False
1701,False
1702,False
1703,False
1704,False
1705,False
1706,False
1707,False
1708,False
1709,False
1710,False
1711,False
1712,False
1713,False
1714,False
1715,False
1716,False
1717,False
1718,False
1719,False
1720,False
1721,True
1722,False
1723,False
1724,False
1725,False
1726,False
1727,False
1728,True
1729,False
1730,False
1731,False
1732,False
1733,False
1734,False
1735,False
1736,False
1737,False
1738,False
1739,False
1740,False
1741,False
1742,False
1743,False
1744,False
1745,False
1746,False
1747,False
1748,False
1749,False
1750,False
1751,False
1752,True
1753,False
1754,False
1755,False
1756,False
1757,False
1758,False
1759,False
1760,False
1761,False
1762,False
1763,False
1764,False
1765,False
1766,False
1767,False
1768,False
1769,False
1770,True
1771,False
1772,False
1773,False
1774,False
1775,False
1776,False
1777,False
1778,False
1779,False
1780,False
1781,True
1782,False
1783,False
1784,False
1785,False
1786,False
1787,False
1788,False
1789,False
1790,False
1791,False
1792,False
1793,False
1794,False
1795,False
1796,False
1797,False
1798,False
1799,False
1800,False
1801,False
1802,False
1803,False
1804,False
1805,False
1806,False
1807,False
1808,False
1809,False
1810,False
1811,False
1812,False
1813,False
1814,False
1815,False
1816,False
1817,False
1818,False
1819,False
1820,False
1821,False
1822,False
1823,False
1824,False
1825,False
1826,False
1827,False
1828,False
1829,False
1830,False
1831,False
1832,False
1833,False
1834,False
1835,False
1836,False
1837,False
1838,False
1839,False
1840,False
1841,False
1842,False
1843,False
1844,False
1845,False
1846,False
1847,False
1848,False
1849,False
1850,False
1851,False
1852,False
1853,False
1854,False
1855,False
1856,False
1857,False
1858,False
1859,False
1860,False
1861,False
1862,False
1863,False
1864,False
1865,False
1866,False
1867,False
1868,False
1869,False
1870,False
1871,False
1872,False
1873,False
1874,False
1875,False
1876,False
1877,False
1878,False
1879,False
1880,False
1881,False
1882,False
1883,False
1884,False
1885,False
1886,False
1887,False
1888,False
1889,False
1890,False
1891,False
1892,False
1893,False
1894,False
1895,False
1896,False
1897,False
1898,False
1899,False
1900,False
1901,False
1902,False
1903,False
1904,False
1905,False
1906,False
1907,False
1908,False
1909,False
1910,False
1911,False
1912,False
1913,False
1914,False
1915,False
1916,False
1917,False
1918,False
1919,False
1920,False
1921,False
1922,False
1923,False
1924,False
1925,False
1926,False
1927,False
1928,False
1929,False
1930,False
1931,False
1932,False
1933,False
1934,False
1935,False
1936,False
1937,False
1938,False
1939,False
1940,False
1941,False
1942,False
1943,False
1944,False
1945,False
1946,False
1947,False
1948,False
1949,True
1950,False
1951,False
1952,False
1953,False
1954,False
1955,False
1956,False
1957,True
1958,False
1959,False
1960,False
1961,False
1962,True
1963,False
1964,False
1965,False
1966,False
1967,False
1968,False
1969,False
1970,False
1971,False
1972,False
1973,False
1974,False
1975,False
1976,False
1977,False
1978,False
1979,False
1980,False
1981,False
1982,False
1983,False
1984,False
1985,False
1986,False
1987,False
1988,False
1989,False
1990,False
1991,False
1992,False
1993,False
1994,False
1995,False
1996,False
1997,False
1998,False
1999,False
2000,False
2001,False
2002,False
2003,False
2004,False
2005,False
2006,False
2007,False
2008,False
2009,False
2010,False
2011,True
2012,False
2013,False
2014,False
2015,False
2016,False
2017,True
2018,False
2019,False
